covariate,rho_per_seed,rho_pooled,rho_mean_of_seeds,ci95,perm_p,partial_rho_ctrl_logfreq
temporal_fanout,0.063;0.025;-0.001,0.022,0.029,"[-0.052,0.096]",0.5571,0.029
static_fanout,0.063;0.025;-0.001,0.022,0.029,"[-0.052,0.096]",0.5571,0.029
tail_fanin,-0.597;-0.592;-0.632,-0.500,-0.607,"[-0.552,-0.442]",9.999e-05,-0.505
tail_entropy,0.586;0.569;0.594,0.486,0.583,"[0.429,0.540]",9.999e-05,0.531
head_tail_ratio,-0.462;-0.445;-0.458,-0.374,-0.455,"[-0.434,-0.312]",9.999e-05,-0.375
one_to_one_frac,-0.011;0.034;0.062,0.021,0.028,"[-0.054,0.096]",0.5742,0.017
powerlaw_gamma,0.082;0.105;0.131,0.083,0.106,"[0.006,0.160]",0.0254,0.080
forman_ricci,0.520;0.560;0.579,0.454,0.553,"[0.391,0.511]",9.999e-05,0.476
grc,0.113;0.124;0.101,0.089,0.113,"[0.013,0.163]",0.0178,0.088
clustering,0.161;0.135;0.152,0.131,0.149,"[0.054,0.204]",0.0007999,0.130
beta1,-0.089;-0.113;-0.129,-0.084,-0.110,"[-0.161,-0.008]",0.0266,-0.090
delta_hyp,-0.165;-0.148;-0.181,-0.129,-0.165,"[-0.202,-0.054]",0.0008999,-0.131
ollivier_rc,-0.015;-0.015;-0.036,-0.009,-0.022,"[-0.086,0.066]",0.8089,-0.010
ollivier_rc_exact,0.052;0.068;0.076,0.050,0.065,"[-0.026,0.126]",0.1866,0.051
longest_path,0.151;0.162;0.175,0.130,0.163,"[0.054,0.205]",0.0005,0.132
reciprocity,0.294;0.293;0.303,0.270,0.297,"[0.193,0.343]",9.999e-05,0.270
growth_rate,-0.460;-0.489;-0.495,-0.402,-0.481,"[-0.463,-0.339]",9.999e-05,-0.408
saturation_r,0.234;0.239;0.285,0.203,0.253,"[0.128,0.275]",9.999e-05,0.216
branch_persist,0.363;0.353;0.392,0.312,0.370,"[0.242,0.378]",9.999e-05,0.320
