relation_id,n_triples,temporal_fanout,static_fanout,tail_fanin,n_heads,n_tails,head_tail_ratio,tail_entropy,one_to_one_frac,powerlaw_gamma,forman_ricci,grc,clustering,beta1,delta_hyp,ollivier_rc,longest_path,reciprocity,growth_rate,growth_r2,sustained_growth,ball_r1,ball_r2,ball_r3,ball_r4,saturation_r,branch_persist,eff_diameter,ollivier_rc_exact
0,298,1.674157,1.674157,49.666667,178,6,29.666667,1.691008,0.488764,1.818399,-54.939597,0.007585,0.0,115,0.082597,0.000000,6,0.000000,1.118591,0.764071,0.817226,4.075,79.108,85.383,165.350,4,-0.165416,8.00,-0.160293
1,1272,4.854962,4.854962,1.4102,262,902,0.290466,6.685841,0.179389,1.856713,-6.108491,0.017055,0.0,162,0.006293,-0.014167,12,0.000000,0.671269,0.970199,0.604318,3.417,12.517,23.575,58.508,8,-0.365331,8.00,-0.379793
2,2671,26.186275,26.186275,1.758394,102,1519,0.067149,7.197627,0.205882,1.813167,-149.239985,0.155379,0.0,1056,0.043344,0.000000,9,0.000000,0.966148,0.776404,0.779195,6.508,216.092,295.650,1069.917,6,-0.157929,8.00,-0.001003
3,8423,5.238184,5.238184,5.218711,1608,1614,0.996283,7.001142,0.26306,1.497056,-19.169637,0.254476,0.550556,3474,0.009360,0.459923,5,0.814437,0.578327,0.944618,0.509973,7.217,20.775,48.858,99.992,8,0.819558,8.00,-0.197249
4,2262,3.036242,3.036242,323.142857,745,7,106.428571,1.397595,0.057718,1.563733,-566.082228,0.002643,0.0,1511,0.068195,0.000000,4,0.000000,2.016657,0.751862,2.016657,12.992,726.042,733.350,752.000,2,-0.223566,8.00,-0.366923
5,2265,3.044355,3.044355,377.5,744,6,124.0,1.396226,0.038978,1.560338,-565.285651,0.002647,0.0,1516,0.073416,0.000000,4,0.000000,2.596922,0.750579,2.596922,4.067,729.717,732.650,750.000,2,-0.072794,8.00,0.000000
6,9494,4.640274,4.640274,5.321749,2046,1784,1.146861,7.298651,0.226295,1.49783,-11.650727,0.005873,0.0,5682,0.000000,-0.008386,11,0.000000,0.904025,0.860248,0.766126,5.883,39.167,218.267,868.183,8,0.101914,8.00,0.000000
7,9465,39.60251,39.60251,5.964083,239,1587,0.150599,7.021519,0.066946,1.438327,-110.06318,0.113076,0.0,7644,0.068114,-0.015476,10,0.000000,0.872051,0.756885,0.698762,11.417,285.892,459.133,1251.292,6,0.196673,8.00,-0.088837
8,15989,6.850471,6.850471,6.829987,2334,2341,0.99701,7.364856,0.19066,1.439473,-26.662602,0.170836,0.510034,7198,0.050706,0.317512,12,0.809932,0.728279,0.867344,0.622586,8.508,45.467,190.567,486.358,8,0.686444,8.00,-0.009449
9,2655,22.310924,22.310924,22.125,119,120,0.991667,4.472275,0.008403,1.277888,-84.349045,0.008403,0.698438,1451,0.075171,0.284226,4,0.817326,0.742612,0.769657,0.742612,27.167,115.383,119.967,120.000,2,-0.655024,8.00,-0.340166
10,2834,10.984496,10.984496,20.242857,258,140,1.842857,4.602746,0.143411,1.355028,-59.918843,0.120907,0.0,2450,0.110894,0.000000,4,0.000000,0.720880,0.802156,0.444749,14.575,55.717,61.625,62.067,3,0.378173,8.00,-0.415553
11,1429,1.064829,1.064829,285.8,1342,5,268.4,0.377855,0.940387,2.333552,-1203.154654,0.001434,0.0,84,0.000000,0.000000,0,0.000000,3.222046,0.750261,3.222046,2.075,1302.200,1305.125,1345.000,2,-0.726148,8.00,0.000000
12,2992,2.64311,2.64311,1.829969,1132,1635,0.692355,7.171778,0.431095,1.825646,-4.402406,0.005061,0.0,433,0.000000,0.000000,1,0.000000,0.710339,0.987782,0.646225,3.400,10.308,21.842,48.042,8,-0.085513,8.00,-0.072727
13,12893,9.834477,9.834477,75.397661,1311,171,7.666667,4.119858,0.6209,1.508074,-332.631816,0.032722,0.0,11412,0.034249,-0.003556,5,0.000000,1.478063,0.651771,1.003499,11.458,1081.875,1330.692,1475.267,4,-0.871606,8.00,0.000000
14,2570,1.572827,1.572827,44.310345,1634,58,28.172414,1.992969,0.641983,1.931047,-881.763424,0.003828,0.0,880,0.000000,0.000000,0,0.000000,1.894907,0.638153,1.288660,3.108,1240.200,1367.000,1665.692,4,-0.807765,8.00,0.000000
15,5201,5.883484,5.883484,1.799031,884,2891,0.305777,7.872823,0.570136,1.690652,-180.49452,0.489745,0.470888,2229,0.000000,0.021036,2,0.000000,0.674388,0.637108,0.572648,4.458,320.000,697.525,1034.925,8,0.245488,8.00,0.000000
16,182,1.011111,1.011111,60.666667,180,3,60.0,0.139591,0.988889,2.35762,-169.252747,0.005555,0.0,1,0.000000,0.000000,4,0.000000,1.962776,0.751079,1.962776,3.475,175.125,176.117,179.508,2,-0.691091,8.00,-0.111924
17,10945,2.65462,2.65462,73.456376,4123,149,27.671141,3.308605,0.312879,1.655298,-797.323191,0.001733,0.0,6675,0.000000,0.000000,2,0.000091,1.771810,0.712913,1.259542,11.450,1825.208,2004.675,4075.542,4,-0.234754,8.00,-0.129482
18,596,5.570093,5.570093,18.060606,107,33,3.242424,2.947353,0.205607,1.456403,-40.97651,0.063351,0.0,460,0.125203,-0.003205,7,0.000000,0.563682,0.730253,0.426684,10.142,64.125,92.950,117.975,5,-0.102421,8.00,0.712059
19,12157,3.644185,3.644185,30.166253,3336,403,8.277916,5.457106,0.31295,1.546211,-76.405857,0.005727,0.0,8428,0.019647,-0.002500,12,0.000000,1.124371,0.847270,0.919840,7.283,186.633,381.100,1850.833,6,-0.156934,8.00,-0.040514
20,5880,18.726115,18.726115,5.47486,314,1074,0.292365,6.78002,0.146497,1.441551,-101.421429,0.254379,4.4e-05,4498,0.092912,-0.021333,9,0.000000,1.171542,0.754976,0.888445,7.500,302.883,599.850,1182.358,5,-0.069677,8.00,-0.140580
21,1908,3.785714,3.785714,4.489412,504,425,1.185882,5.55797,0.333333,1.518302,-22.75266,0.224946,0.125792,1256,0.060627,0.097695,11,0.028302,0.656874,0.827030,0.548382,7.333,50.425,152.983,270.475,7,0.430840,8.00,-0.011436
22,2640,5.136187,5.136187,1.345566,514,1962,0.261978,7.492488,0.33463,1.928034,-19.996212,0.015812,0.0,322,0.000000,0.000000,2,0.000000,0.822806,0.921190,0.721907,3.067,24.550,43.875,207.808,8,-0.138536,8.00,0.000000
23,797,2.613115,2.613115,33.208333,305,24,12.708333,2.524976,0.403279,1.639166,-87.462986,0.017049,0.0,478,0.070016,-0.003750,5,0.000000,0.989763,0.645864,0.673751,6.350,139.792,149.825,168.100,4,0.260011,8.00,-0.100257
24,2465,1.0,1.0,3.609078,2465,683,3.609078,5.491374,1.0,2.204808,-35.054767,6.8e-05,0.0,0,0.000000,0.000000,2,0.000000,1.337537,0.750000,1.337537,2.175,31.567,31.567,31.567,2,-0.398505,8.00,0.000000
25,3612,1.0,1.0,3612.0,3612,1,3612.0,-0.0,1.0,2.437991,-3609.0,0.0,0.0,0,nan,nan,0,0.000000,3.749573,0.750000,3.749573,2.000,3613.000,3613.000,3613.000,2,-1.000000,8.00,0.000000
26,5305,4.193676,4.193676,136.025641,1265,39,32.435897,2.661218,0.120158,1.499412,-513.922714,0.006932,0.0,4002,0.000000,-0.010000,4,0.000000,1.493332,0.639868,1.016282,9.142,1020.983,1080.992,1301.900,4,-0.435981,8.00,-0.529933
27,2727,19.340426,19.340426,1.848814,141,1475,0.095593,7.09476,0.0,1.751238,-27.03337,0.030795,0.0,1113,0.064209,-0.005000,12,0.000000,1.121039,0.917232,0.945125,3.917,48.625,94.242,577.325,6,-0.235694,8.00,-0.497913
28,2407,1.444778,1.444778,39.459016,1666,61,27.311475,1.872594,0.695078,2.002862,-790.206066,0.005551,0.0,683,0.022184,0.000000,8,0.000000,1.950069,0.657496,1.344487,2.592,1067.658,1147.042,1683.492,4,-0.626741,8.00,-0.267122
29,2130,37.368421,37.368421,10.191388,57,209,0.272727,4.881261,0.035088,1.354997,-80.331455,0.587084,0.0,1865,0.096640,-0.039000,4,0.000000,0.876599,0.720348,0.603709,16.042,174.675,245.742,265.975,4,-0.828319,8.00,-0.245995
30,3310,3.280476,3.280476,14.085106,1009,235,4.293617,5.054623,0.35778,1.55833,-29.117825,0.01237,0.0,2082,0.083308,-0.010333,9,0.000000,0.616218,0.788846,0.521953,7.450,69.642,174.125,496.542,8,-0.107589,8.00,-0.050998
31,7268,3.90333,3.90333,59.089431,1862,123,15.138211,3.728292,0.069817,1.491941,-311.257878,0.003141,0.0,5284,0.035914,-0.002500,7,0.000138,1.787219,0.711038,1.262661,5.342,889.575,1032.908,1964.783,4,-0.413845,8.00,-0.072339
32,2337,31.581081,31.581081,1.507742,74,1550,0.047742,7.230917,0.121622,1.912118,-107.673941,0.101064,0.0,720,0.033688,0.000000,10,0.000000,1.822415,0.870515,1.410670,3.200,161.733,214.792,1265.592,4,-0.272490,8.00,0.000000
33,373,1.0,1.0,373.0,373,1,373.0,-0.0,1.0,2.410476,-370.0,7e-06,0.0,0,0.000000,0.000000,2,0.000000,2.615554,0.750000,2.615554,2.000,374.000,374.000,374.000,2,-1.000000,8.00,0.000000
34,1210,1.0,1.0,201.666667,1210,6,201.666667,0.211023,1.0,2.415534,-1117.305785,4e-06,0.0,0,0.000000,0.000000,0,0.000000,3.158330,0.750000,3.158330,2.000,1107.442,1107.442,1107.442,2,-0.281578,8.00,0.000000
35,1070,18.135593,18.135593,16.212121,59,66,0.893939,3.905897,0.0,1.308938,-46.237383,0.32063,0.0,947,0.129120,-0.062500,4,0.000000,0.825456,0.912284,0.534502,17.908,63.692,93.333,93.650,3,-0.287777,8.00,0.000000
36,622,6.988764,6.988764,31.1,89,20,4.45,2.739593,0.05618,1.37189,-49.906752,0.077503,0.0,514,0.135827,0.000000,4,0.000000,1.065074,0.829053,0.674524,12.413,83.220,104.468,109.000,3,-0.726787,8.00,-0.016083
37,760,33.043478,33.043478,1.715576,23,443,0.051919,5.95555,0.086957,1.819851,-83.405263,0.31518,0.0,296,0.036694,-0.005000,8,0.000000,0.730752,0.708197,0.600496,5.067,123.950,144.825,264.950,6,-0.615748,8.00,-0.378462
38,6277,2.695148,2.695148,3.874691,2329,1620,1.437654,7.083235,0.42207,1.650786,-8.750598,0.004153,0.0,2399,0.000000,0.000000,3,0.000637,0.944498,0.944681,0.826462,4.375,21.217,79.375,277.933,8,-0.156143,8.00,-0.000000
39,695,1.0,1.0,3.756757,695,185,3.756757,3.943179,1.0,2.250889,-37.574101,0.000268,0.0,0,0.000000,0.000000,2,0.000000,1.379635,0.750000,1.379635,2.283,36.050,36.050,36.050,2,-0.337327,8.00,-0.000000
40,676,6.035714,6.035714,1.904225,112,355,0.315493,5.683674,0.080357,1.698769,-6.455621,0.026961,0.0,220,0.090429,-0.006786,12,0.000000,0.564553,0.883829,0.486179,4.017,15.317,38.383,88.858,8,-0.222048,8.00,-0.434247
41,1772,3.827214,3.827214,16.87619,463,105,4.409524,3.753155,0.295896,1.538796,-74.151242,0.038703,0.0,1206,0.072963,-0.026500,7,0.000000,0.974017,0.759173,0.736598,7.758,158.867,295.808,522.850,5,-0.301290,8.00,-0.003860
42,1938,22.534884,22.534884,3.1875,86,608,0.141447,6.1601,0.209302,1.581553,-145.22807,0.36934,0.0,1246,0.057515,-0.023857,7,0.000000,1.429671,0.728257,1.010432,6.325,326.808,440.958,671.975,4,-0.365647,8.00,-0.244001
43,3717,1.0,1.0,1858.5,3717,2,1858.5,0.521843,1.0,2.434534,-2454.951305,0.0,0.0,0,nan,nan,0,0.000000,2.144998,0.750000,2.144998,32.958,2404.842,2404.842,2404.842,2,-0.124805,8.00,0.003592
44,734,15.617021,15.617021,2.217523,47,331,0.141994,5.527602,0.170213,1.716722,-52.39782,0.324621,0.0,360,0.068552,-0.020492,8,0.000000,0.751414,0.755322,0.605443,4.433,75.508,111.283,243.350,6,-0.086840,8.00,-0.101937
