covariate,rho_per_seed,rho_pooled,rho_mean_of_seeds,ci95,perm_p,partial_rho_ctrl_logfreq
temporal_fanout,0.063;-0.005;0.069,0.031,0.042,"[-0.053,0.115]",0.4628,-0.083
static_fanout,0.178;0.164;0.208,0.126,0.183,"[0.042,0.207]",0.0041,-0.087
tail_fanin,0.003;0.076;0.025,0.022,0.034,"[-0.063,0.104]",0.6141,-0.068
tail_entropy,0.306;0.210;0.321,0.194,0.279,"[0.111,0.275]",9.999e-05,0.148
head_tail_ratio,0.006;0.112;-0.035,0.012,0.028,"[-0.074,0.097]",0.7909,0.013
one_to_one_frac,-0.059;0.010;-0.060,-0.027,-0.036,"[-0.109,0.057]",0.5227,0.077
powerlaw_gamma,-0.187;-0.184;-0.196,-0.129,-0.189,"[-0.209,-0.045]",0.0033,0.081
forman_ricci,-0.193;-0.195;-0.210,-0.135,-0.199,"[-0.218,-0.049]",0.0025,0.049
grc,-0.156;-0.074;-0.129,-0.087,-0.119,"[-0.173,0.000]",0.0386,-0.060
clustering,0.116;0.098;0.141,0.077,0.119,"[-0.008,0.162]",0.07009,-0.096
beta1,0.216;0.220;0.232,0.153,0.223,"[0.069,0.236]",0.0008999,0.041
delta_hyp,0.090;0.152;0.088,0.074,0.110,"[-0.010,0.160]",0.07649,-0.032
ollivier_rc,-0.050;-0.035;-0.038,-0.025,-0.041,"[-0.110,0.056]",0.5566,-0.057
longest_path,-0.027;-0.077;-0.094,-0.041,-0.066,"[-0.124,0.043]",0.3324,0.041
reciprocity,0.089;0.074;0.106,0.060,0.090,"[-0.027,0.145]",0.1607,-0.097
growth_rate,0.199;0.205;0.227,0.140,0.210,"[0.056,0.224]",0.0012,-0.013
saturation_r,-0.098;-0.137;-0.180,-0.092,-0.138,"[-0.175,-0.006]",0.0331,0.034
branch_persist,0.112;0.136;0.081,0.078,0.110,"[-0.009,0.163]",0.06199,0.086
