relation_id,n_triples,temporal_fanout,static_fanout,tail_fanin,n_heads,n_tails,head_tail_ratio,tail_entropy,one_to_one_frac,powerlaw_gamma,forman_ricci,grc,clustering,beta1,delta_hyp,ollivier_rc,longest_path,reciprocity,growth_rate,growth_r2,sustained_growth,ball_r1,ball_r2,ball_r3,ball_r4,saturation_r,branch_persist,eff_diameter
0,102983,1.329722,14.121107,1.341623,2890,2808,1.029202,5.896943,0.810361,1.435245,-333.85074,0.159262,0.339796,30567,0.055402,0.061115,5,0.328106,1.713315,0.785246,1.194761,17.083,979.025,3088.392,3519.958,4,-0.045822,8.00
1,27727,1.228271,7.75727,1.232804,1685,1610,1.046584,5.763988,0.845043,1.509165,-156.677664,0.135443,0.257052,8377,0.066846,0.033000,7,0.404560,1.703594,0.820999,1.203595,10.467,432.133,1601.000,1978.892,4,0.065672,8.00
2,134342,1.365181,16.508082,1.375497,3279,3200,1.024687,6.130705,0.786609,1.414578,-375.535881,0.17078,0.347363,40992,0.048048,0.072836,5,0.339036,1.634019,0.784414,1.138808,24.425,1170.350,3476.275,3942.025,4,-0.108359,8.00
3,127783,1.370268,16.713612,1.362728,3181,3252,0.978167,6.094636,0.766015,1.415581,-373.240934,0.162423,0.371561,40242,0.056192,0.038703,6,0.338111,1.680463,0.791994,1.172645,21.442,1061.242,3463.542,3915.100,4,0.054778,8.00
4,15140,1.188197,6.051163,1.16641,1290,1306,0.987749,5.551345,0.850102,1.535288,-130.687725,0.205411,0.206567,5238,0.051333,0.033068,7,0.223674,1.688480,0.836217,1.203873,9.042,323.617,1221.742,1615.317,4,0.132898,8.00
5,12810,1.126946,5.4568,1.162854,1250,1151,1.086012,5.566029,0.896543,1.552118,-116.453959,0.196278,0.193255,4467,0.031710,0.044754,6,0.226360,1.681168,0.856015,1.206960,8.850,259.692,1084.942,1491.767,4,0.135078,8.00
6,63279,1.345446,11.520824,1.327801,2233,2216,1.007671,5.809513,0.787081,1.439132,-265.839659,0.164625,0.296098,18815,0.045799,0.022300,7,0.324341,1.651004,0.775377,1.149056,15.508,841.133,2375.383,2693.692,4,0.181656,8.00
7,96204,1.350478,13.83127,1.354681,2827,2758,1.025018,5.900003,0.788425,1.431049,-321.750426,0.143318,0.357618,29384,0.058453,0.070032,6,0.319838,1.774760,0.785232,1.236952,13.850,917.058,3019.650,3452.700,4,0.015808,8.00
8,246,1.160377,1.935065,1.060345,77,81,0.950617,3.800678,0.839623,1.844299,-6.485714,0.241984,0.125073,27,0.038516,0.040402,11,0.120805,0.494117,0.874707,0.415992,3.258,11.050,23.417,39.333,7,0.122974,8.00
9,26780,1.209849,7.708359,1.216278,1615,1533,1.05349,5.47701,0.841789,1.513447,-183.399369,0.174585,0.277615,8705,0.061054,0.032866,7,0.269419,1.614350,0.835103,1.146465,14.250,432.392,1581.417,2009.567,4,0.090935,8.00
