covariate,rho_per_seed,rho_pooled,rho_mean_of_seeds,ci95,perm_p,partial_rho_ctrl_logfreq
temporal_fanout,-0.163;-0.173;-0.120,-0.146,-0.152,"[-0.237,-0.051]",0.0035,-0.123
static_fanout,-0.180;-0.151;-0.152,-0.152,-0.161,"[-0.244,-0.056]",0.0018,-0.137
tail_fanin,-0.233;-0.204;-0.152,-0.185,-0.197,"[-0.278,-0.087]",9.999e-05,-0.179
tail_entropy,0.311;0.374;0.374,0.344,0.353,"[0.260,0.426]",9.999e-05,0.519
head_tail_ratio,-0.001;0.003;0.046,0.016,0.016,"[-0.081,0.114]",0.7405,0.010
one_to_one_frac,0.177;0.196;0.134,0.162,0.169,"[0.067,0.253]",0.0008999,0.143
powerlaw_gamma,0.191;0.153;0.150,0.153,0.165,"[0.057,0.247]",0.002,0.143
forman_ricci,0.195;0.192;0.151,0.171,0.180,"[0.078,0.262]",0.0005999,0.228
grc,-0.172;-0.195;-0.243,-0.196,-0.203,"[-0.287,-0.103]",9.999e-05,-0.190
clustering,-0.137;-0.114;-0.109,-0.109,-0.120,"[-0.201,-0.014]",0.0261,-0.069
beta1,-0.099;-0.078;-0.048,-0.067,-0.075,"[-0.159,0.030]",0.1658,0.074
delta_hyp,-0.110;-0.122;-0.091,-0.096,-0.108,"[-0.193,0.004]",0.0498,-0.065
ollivier_rc,-0.079;-0.037;-0.102,-0.064,-0.072,"[-0.158,0.034]",0.1826,-0.026
ollivier_rc_exact,-0.027;-0.027;-0.086,-0.050,-0.047,"[-0.171,0.067]",0.4019,-0.018
longest_path,0.242;0.295;0.282,0.264,0.273,"[0.171,0.356]",9.999e-05,0.256
reciprocity,0.302;0.309;0.292,0.294,0.301,"[0.204,0.384]",9.999e-05,0.400
growth_rate,-0.249;-0.224;-0.209,-0.218,-0.227,"[-0.308,-0.122]",9.999e-05,-0.317
saturation_r,0.287;0.307;0.293,0.288,0.296,"[0.193,0.379]",9.999e-05,0.279
branch_persist,0.290;0.399;0.321,0.327,0.337,"[0.239,0.412]",9.999e-05,0.354
