relation_id,n_triples,temporal_fanout,static_fanout,tail_fanin,n_heads,n_tails,head_tail_ratio,tail_entropy,one_to_one_frac,powerlaw_gamma,forman_ricci,grc,clustering,beta1,delta_hyp,ollivier_rc,longest_path,reciprocity,growth_rate,growth_r2,sustained_growth,ball_r1,ball_r2,ball_r3,ball_r4,saturation_r,branch_persist,eff_diameter,ollivier_rc_exact
0,61107,1.654895,5.447156,1.963971,5573,3527,1.580096,5.859738,0.728666,1.577388,-333.334648,0.086167,0.268831,21323,0.019276,0.056646,5,0.162005,2.065867,0.830941,1.464756,11.092,897.808,4757.875,6226.392,4,0.184501,8.00,0.112021
1,33766,1.55891,6.134721,1.55891,3459,3459,1.0,6.554509,0.713666,1.619971,-122.644675,0.056494,0.162356,7252,0.034846,0.061904,8,1.000000,1.464143,0.814440,1.110132,6.483,228.192,1432.983,2589.600,5,0.214643,8.00,-0.072412
2,19947,1.465506,3.931346,1.962708,2549,1448,1.760359,4.708283,0.774594,1.665512,-345.06627,0.071803,0.253193,6087,0.043526,0.030550,8,0.190001,1.969511,0.761999,1.372804,5.717,793.858,2333.942,2832.608,4,-0.015901,8.00,-0.166667
3,16426,1.73508,5.332753,1.546559,1722,1389,1.239741,5.638367,0.652794,1.581655,-145.999497,0.138485,0.190116,5799,0.045031,0.048111,6,0.266362,1.841972,0.843159,1.317891,6.983,325.683,1422.150,1982.475,4,0.224886,8.00,-0.294629
4,14160,1.316352,4.45569,1.436688,2144,1793,1.195761,5.863283,0.788975,1.651988,-140.64072,0.17625,0.157117,6020,0.028828,0.042897,7,0.138805,1.424064,0.789825,1.069589,6.817,262.242,1602.075,2540.317,5,0.240761,8.00,-0.256803
5,14099,1.595812,7.989701,1.303893,971,2274,0.427001,6.425765,0.69202,1.663355,-103.038838,0.602146,0.132163,4998,0.039311,0.029454,6,0.048466,1.454625,0.817995,1.098540,6.017,180.833,1272.317,2277.708,5,0.038340,8.00,-0.245889
6,14093,1.303942,3.41355,1.595675,2273,971,2.340886,5.185678,0.823464,1.663475,-103.036597,0.043501,0.132163,4997,0.026041,0.010864,7,0.048975,1.420705,0.806095,1.070160,6.733,221.783,1354.750,2362.467,5,0.111068,8.00,-0.281204
7,12503,1.43878,3.944598,1.537128,1805,1324,1.363293,5.318166,0.791715,1.670463,-201.228522,0.129264,0.206553,4096,0.025234,0.034186,6,0.211517,1.757111,0.812128,1.245346,8.992,471.517,1604.650,2090.375,4,0.183275,8.00,-0.228613
8,10811,1.741463,5.687931,2.294355,580,828,0.700483,3.731188,0.698776,1.670584,-155.47529,0.422041,0.151077,2053,0.075066,-0.012741,6,0.012731,1.594329,0.793060,1.119700,8.067,336.433,965.050,1153.908,4,0.008662,8.00,-0.179798
9,10087,1.477516,3.599438,1.534845,1423,1155,1.232035,5.117444,0.778233,1.712877,-186.901714,0.16677,0.185296,2706,0.045680,0.041557,7,0.200312,1.933873,0.795747,1.368058,3.867,360.975,1219.158,1624.467,4,0.162777,8.00,-0.245752
10,8852,2.011818,4.503559,1.588373,562,550,1.021818,4.372212,0.664773,1.659001,-107.949423,0.360518,0.184905,1435,0.036481,0.068078,6,0.218886,1.424303,0.799382,1.003985,8.733,236.533,608.408,735.025,4,0.007065,8.00,-0.318760
11,8065,2.623617,11.464706,1.734409,170,575,0.295652,4.236067,0.470072,1.676042,-143.949002,0.700828,0.320532,1170,0.016398,0.075268,5,0.148794,1.430542,0.731023,0.982990,6.717,294.708,591.550,626.917,4,-0.281074,8.00,-0.229575
12,6083,1.243459,3.514545,1.243205,1100,1101,0.999092,5.795471,0.835446,1.742682,-33.515245,0.120292,0.083118,909,0.042128,0.013145,8,0.998965,0.997911,0.819703,0.793076,4.625,55.308,287.858,626.817,6,0.309909,8.00,-0.320499
13,4533,1.339539,3.40617,1.341521,778,790,0.98481,5.450337,0.795213,1.732562,-29.926247,0.195346,0.138558,668,0.034572,0.068537,9,0.956226,0.848303,0.804550,0.675251,5.067,47.892,195.075,348.800,6,0.334468,8.00,-0.113065
14,4871,1.25606,4.424337,1.255412,641,576,1.112847,5.011092,0.826457,1.689491,-48.77416,0.191138,0.114331,1130,0.066138,0.082290,8,0.657264,1.178827,0.838975,0.905717,4.517,69.358,293.217,511.525,5,0.269183,8.00,-0.239827
15,4906,1.245178,2.825848,1.425748,1091,712,1.532303,4.73334,0.848985,1.777931,-130.744008,0.118529,0.138544,1488,0.032536,0.019536,8,0.132339,1.811147,0.832877,1.291141,4.492,217.583,870.817,1184.525,4,0.100228,8.00,-0.270844
16,4590,1.293687,3.490082,1.309932,857,719,1.191933,5.196554,0.804397,1.711684,-95.958233,0.160324,0.164611,1399,0.035260,0.050452,8,0.335005,1.207815,0.749684,0.901764,5.067,175.383,632.417,890.700,5,0.191961,8.00,-0.112622
17,4068,1.242517,2.811254,1.33246,853,752,1.134309,5.267089,0.844533,1.792571,-80.347375,0.183019,0.112005,643,0.017589,0.051015,7,0.713094,1.207931,0.775155,0.914181,3.683,109.858,385.500,590.550,5,0.146693,8.00,-0.154857
