covariate,rho_per_seed,rho_pooled,rho_mean_of_seeds,ci95,perm_p,partial_rho_ctrl_logfreq
temporal_fanout,-0.244;-0.456;-0.239,-0.326,-0.313,"[-0.538,-0.075]",0.005999,-0.166
static_fanout,-0.381;-0.474;-0.401,-0.431,-0.419,"[-0.607,-0.215]",0.0002,-0.300
tail_fanin,-0.549;-0.364;-0.435,-0.452,-0.449,"[-0.605,-0.263]",9.999e-05,-0.196
tail_entropy,-0.221;-0.446;-0.311,-0.333,-0.326,"[-0.530,-0.102]",0.0047,-0.017
head_tail_ratio,-0.282;-0.072;-0.205,-0.182,-0.186,"[-0.385,0.039]",0.1332,-0.054
one_to_one_frac,0.184;0.384;0.179,0.265,0.249,"[0.024,0.476]",0.0271,0.086
powerlaw_gamma,0.411;0.393;0.449,0.429,0.418,"[0.238,0.589]",0.0005,0.112
forman_ricci,0.694;0.540;0.556,0.601,0.597,"[0.416,0.740]",9.999e-05,0.386
grc,0.242;0.189;0.265,0.236,0.232,"[-0.012,0.464]",0.05279,-0.190
clustering,-0.245;-0.031;-0.167,-0.128,-0.148,"[-0.387,0.150]",0.2969,-0.062
beta1,-0.712;-0.690;-0.665,-0.695,-0.689,"[-0.802,-0.545]",9.999e-05,-0.530
delta_hyp,-0.217;-0.226;-0.350,-0.260,-0.264,"[-0.477,-0.017]",0.032,-0.125
ollivier_rc,-0.199;0.119;-0.106,-0.053,-0.062,"[-0.283,0.180]",0.6678,-0.175
ollivier_rc_exact,0.322;0.182;0.273,0.252,0.259,"[0.050,0.438]",0.037,0.220
longest_path,-0.059;-0.082;-0.105,-0.076,-0.082,"[-0.315,0.175]",0.5241,0.111
reciprocity,0.187;0.255;0.226,0.226,0.223,"[-0.069,0.464]",0.06179,0.280
growth_rate,-0.632;-0.481;-0.485,-0.539,-0.533,"[-0.680,-0.346]",9.999e-05,-0.333
saturation_r,-0.186;-0.271;-0.276,-0.243,-0.244,"[-0.464,0.003]",0.0438,0.003
branch_persist,-0.113;-0.229;-0.196,-0.174,-0.179,"[-0.408,0.075]",0.1556,-0.014
