relation_id,n_triples,temporal_fanout,static_fanout,tail_fanin,n_heads,n_tails,head_tail_ratio,tail_entropy,one_to_one_frac,powerlaw_gamma,forman_ricci,grc,clustering,beta1,delta_hyp,ollivier_rc,longest_path,reciprocity,growth_rate,growth_r2,sustained_growth,ball_r1,ball_r2,ball_r3,ball_r4,saturation_r,branch_persist,eff_diameter,ollivier_rc_exact
0,61,1.051724,1.928571,1.0,28,53,0.528302,3.929065,0.965517,2.147563,0.222222,0.0675,0.0,0,0.000000,0.000000,2,0.000000,0.208868,0.762552,0.208868,2.333,3.519,3.543,3.543,2,-0.400736,8.00,0.000000
1,2142,1.020972,1.621757,4.835214,1195,341,3.504399,4.337967,0.981888,1.843941,-58.304438,0.00513,0.006667,568,0.000000,0.012974,2,0.000000,1.065839,0.792425,0.795816,4.025,59.600,65.483,136.175,4,0.077126,8.00,-0.141674
2,202,1.216867,2.0,7.214286,101,4,25.25,0.790415,0.783133,1.690352,-95.128713,0.020155,0.0,98,0.006212,0.000000,4,0.000000,1.537373,0.759112,1.537373,4.848,101.076,104.924,105.000,2,-0.643863,8.00,-0.099087
3,49,1.0,1.042553,4.454545,47,4,11.75,0.823977,1.0,2.154068,-25.102041,0.0212,0.0,0,0.000000,0.000000,6,0.000000,0.797837,0.707859,0.568700,2.922,28.961,30.922,40.843,4,-0.614071,8.00,-0.079010
4,88,1.023256,1.359375,1.419355,64,16,4.0,2.280084,0.976744,1.881511,-10.735632,0.011697,0.0,12,0.030818,0.000000,9,0.000000,0.520157,0.834441,0.428782,3.175,16.050,21.825,40.475,6,-0.361739,8.00,-0.125610
5,135,1.298077,3.068182,1.046512,44,93,0.473118,4.462355,0.817308,1.80874,-2.887218,0.155372,0.022489,13,0.023955,0.003551,12,0.029630,0.358309,0.916543,0.315765,3.133,7.933,12.867,19.658,8,-0.314364,8.00,-0.138321
6,558,1.079612,2.883333,2.622642,180,116,1.551724,4.191177,0.935922,1.627587,-12.204633,0.028166,0.009811,232,0.078082,0.001405,11,0.001927,0.600932,0.869304,0.509448,4.367,23.392,50.092,97.183,7,0.087946,8.00,-0.292595
7,80,1.151515,2.0,1.013333,25,48,0.520833,3.820968,0.848485,2.187848,-2.84,0.201582,0.0,0,0.000000,0.000000,2,0.000000,0.442290,0.758132,0.442290,2.370,5.685,5.740,5.767,2,-0.279252,8.00,-0.045475
8,203,1.0,1.047872,1.0,188,188,1.0,5.21077,1.0,2.362545,1.777778,0.004773,0.0,0,0.000000,0.000000,1,0.812183,0.029594,0.750000,0.029594,2.050,2.175,2.175,2.175,2,0.015116,8.00,-0.076756
9,664,1.220974,1.841791,1.878963,335,113,2.964602,3.940687,0.850187,1.809959,-19.115073,0.041934,0.0,211,0.062470,-0.009262,12,0.000000,0.394762,0.776093,0.340496,3.533,22.758,30.683,52.725,8,-0.188395,8.00,-0.349527
10,157,1.082759,1.303571,1.075342,112,77,1.454545,3.952024,0.924138,2.053907,-3.794521,0.022606,0.0,1,0.000000,-0.009132,7,0.000000,0.272200,0.729315,0.211985,2.658,6.617,7.692,8.542,5,-0.090773,8.00,-0.024764
11,107,1.019231,1.22093,1.394737,86,33,2.606061,3.131835,0.980769,1.960543,-4.342857,0.018098,0.0,4,0.002135,-0.006349,7,0.000000,0.302143,0.764532,0.242766,2.765,8.261,10.244,13.504,6,-0.474698,8.00,-0.107407
12,83,1.050633,1.344262,1.185714,61,37,1.648649,3.107648,0.949367,2.017822,-3.780488,0.022532,0.0,0,0.000000,0.000000,9,0.000000,0.272702,0.785380,0.228216,2.673,7.510,10.184,13.388,7,-0.261916,8.00,-0.021702
13,290,1.132812,1.66242,2.566372,157,24,6.541667,2.391768,0.867188,1.772003,-29.157088,0.008704,0.0,87,0.002065,0.000000,8,0.000000,0.856865,0.753828,0.622283,3.892,38.592,43.717,64.942,4,-0.412467,8.00,-0.494336
14,2917,1.251436,2.217663,1.549234,1121,606,1.849835,5.62977,0.806894,1.703757,-21.346742,0.004379,0.0,892,0.004676,0.000000,5,0.000000,0.538490,0.864096,0.468269,3.933,22.550,49.383,88.975,8,0.199085,8.00,-0.131672
15,527,1.031311,1.176871,3.659722,441,47,9.382979,2.336026,0.970646,2.081536,-144.620424,0.006011,0.0,52,0.000000,0.000000,9,0.000000,2.034359,0.751966,2.034359,2.767,160.083,161.800,164.858,2,-0.622815,8.00,-0.737392
16,680,2.19403,8.519231,1.063291,52,386,0.134715,5.863598,0.425373,2.005978,-11.936795,0.087351,0.0,35,0.000000,0.000000,12,0.000000,0.667841,0.731443,0.481709,2.733,17.450,18.725,24.733,4,-0.456029,8.00,-0.054133
17,5940,1.35123,2.453182,1.295171,2200,1666,1.320528,7.028508,0.77649,1.686313,-7.742079,0.00457,0.0,1694,0.000000,0.000000,2,0.000000,0.781823,0.954956,0.693708,4.408,18.267,53.108,139.792,8,0.005973,8.00,-0.049887
18,78,3.545455,4.588235,1.054054,17,69,0.246377,4.196752,0.545455,2.032853,-8.307692,0.253827,0.0,7,0.000000,0.000000,3,0.000000,0.729645,0.769174,0.729645,2.835,11.753,12.200,12.247,2,-0.309454,8.00,-0.201874
19,60,1.132075,1.459459,1.071429,37,36,1.027778,3.45307,0.886792,2.025861,0.111111,0.059992,0.0,0,0.000000,0.000000,6,0.000000,0.234721,0.912941,0.189149,2.479,3.877,5.082,5.986,5,0.039804,8.00,-0.225713
20,3861,1.745476,2.397523,1.643384,888,685,1.29635,5.481548,0.717129,1.777395,-17.442931,0.010594,0.0,628,0.007419,-0.011667,10,0.000000,0.631839,0.908055,0.553169,4.633,27.300,55.792,123.392,8,-0.322797,8.00,-0.351701
21,218,1.172222,1.6,1.198864,120,49,2.44898,3.547705,0.855556,1.807762,-6.708333,0.017175,0.0,41,0.008265,-0.012153,12,0.000000,0.278813,0.827763,0.244721,3.475,10.725,14.442,19.700,8,-0.194938,8.00,0.000000
22,11995,2.149259,5.676424,2.30181,1879,1207,1.556752,6.867758,0.374858,1.408666,-16.247515,0.003832,0.0,7590,0.013393,-0.014167,12,0.000000,0.982222,0.881057,0.817739,7.942,59.417,287.083,1066.333,7,0.086241,8.00,0.000000
23,129,1.057377,1.237624,1.04878,101,71,1.422535,4.099913,0.95082,2.045513,0.08,0.013372,0.0,2,0.003119,-0.005333,6,0.000000,0.184443,0.859797,0.147679,2.458,3.842,4.550,5.067,5,-0.075994,8.00,-0.142965
