covariate,rho_per_seed,rho_pooled,rho_mean_of_seeds,ci95,perm_p,partial_rho_ctrl_logfreq
temporal_fanout,-0.282;-0.118;-0.155,-0.173,-0.185,"[-0.531,0.216]",0.3289,-0.176
static_fanout,-0.282;-0.118;-0.155,-0.173,-0.185,"[-0.531,0.216]",0.3289,-0.176
tail_fanin,-0.464;-0.609;-0.618,-0.553,-0.564,"[-0.808,-0.212]",0.0007999,-0.625
tail_entropy,0.373;0.309;0.264,0.322,0.315,"[-0.084,0.708]",0.06449,0.467
head_tail_ratio,-0.018;-0.245;-0.173,-0.139,-0.145,"[-0.555,0.332]",0.4429,-0.147
one_to_one_frac,0.364;0.182;0.227,0.247,0.258,"[-0.113,0.599]",0.1623,0.252
powerlaw_gamma,-0.064;-0.018;-0.091,-0.069,-0.058,"[-0.514,0.328]",0.7012,-0.109
forman_ricci,0.800;0.818;0.800,0.803,0.806,"[0.636,0.880]",9.999e-05,0.803
grc,-0.018;0.173;0.155,0.114,0.103,"[-0.274,0.425]",0.5337,0.121
clustering,0.233;0.302;0.193,0.238,0.243,"[-0.095,0.544]",0.1804,0.240
beta1,-0.209;-0.327;-0.273,-0.245,-0.270,"[-0.568,0.176]",0.1737,-0.449
delta_hyp,0.000;0.000;0.000,0.000,0.000,"[0.000,0.000]",1,0.000
ollivier_rc,-0.100;0.100;0.100,0.011,0.033,"[-0.177,0.200]",0.9774,0.011
ollivier_rc_exact,0.268;0.317;0.317,0.355,0.301,"[-0.054,0.664]",0.08879,0.355
longest_path,-0.521;-0.301;-0.397,-0.422,-0.406,"[-0.641,-0.156]",0.0153,-0.670
reciprocity,0.431;0.411;0.337,0.396,0.393,"[0.053,0.653]",0.0239,0.398
growth_rate,-0.645;-0.645;-0.618,-0.631,-0.636,"[-0.826,-0.329]",9.999e-05,-0.633
saturation_r,0.058;0.000;0.058,0.038,0.038,"[-0.357,0.450]",0.8453,0.062
branch_persist,0.664;0.782;0.718,0.723,0.721,"[0.506,0.838]",9.999e-05,0.724
