relation_id,n_triples,temporal_fanout,static_fanout,tail_fanin,n_heads,n_tails,head_tail_ratio,tail_entropy,one_to_one_frac,powerlaw_gamma,forman_ricci,grc,clustering,beta1,delta_hyp,ollivier_rc,longest_path,reciprocity,growth_rate,growth_r2,sustained_growth,ball_r1,ball_r2,ball_r3,ball_r4,saturation_r,branch_persist,eff_diameter,ollivier_rc_exact
0,34796,1.0208,1.0208,3.662351,34087,9501,3.587728,8.27768,0.979816,1.986775,-34.961202,0.000237,0.0,589,nan,0.000000,1,0.000000,0.839530,0.885126,0.732765,3.092,49.133,87.742,318.000,8,-0.377029,8.00,-0.307163
1,29715,1.842105,1.842105,1.84085,16131,16142,0.999319,9.504444,0.537598,1.861468,-1.648824,0.21612,0.009162,1879,nan,0.000000,1,0.932223,0.364446,0.967179,0.329437,2.933,5.867,9.725,13.908,8,-0.016671,8.00,0.000000
2,2921,1.184509,1.184509,7.230198,2466,404,6.10396,4.51118,0.832928,2.084317,-109.07292,0.001712,0.0,285,0.000000,0.000000,2,0.000000,1.804249,0.759667,1.804249,3.542,124.783,130.725,165.575,2,-0.272851,8.00,0.000000
3,1299,1.837341,1.837341,1.650572,707,787,0.898348,6.513063,0.54314,1.922189,-1.188701,0.189896,0.062886,76,0.000000,0.017500,3,0.637413,0.300061,0.952427,0.267539,2.850,5.333,8.008,10.967,8,0.160232,8.00,-0.028818
4,7402,2.391599,2.391599,1.008447,3095,7340,0.421662,8.897328,0.624879,1.942534,-11.039989,0.015062,0.0,30,0.000000,0.000000,0,0.000000,0.742429,0.965617,0.666901,3.175,12.958,36.242,75.050,8,0.095190,8.00,nan
5,3116,1.047395,1.047395,10.084142,2975,309,9.627832,4.546566,0.957983,2.178634,-87.10947,0.000603,0.002102,61,0.000000,0.000000,2,0.000642,0.485181,0.597212,0.408119,3.017,99.525,108.075,199.175,8,-0.383889,8.00,-0.277893
6,4816,2.434783,2.434783,1.207018,1978,3990,0.495739,8.206291,0.625379,1.978167,-8.412375,0.016035,0.012251,524,0.000000,0.000000,2,0.000000,0.710217,0.886493,0.616911,2.825,17.708,58.450,142.242,8,0.120745,8.00,-0.000000
7,629,25.16,25.16,1.058923,25,594,0.042088,6.363665,0.2,2.244263,-121.240064,0.18403,0.0,26,0.000000,0.000000,10,0.000000,1.822766,0.756229,1.822766,3.217,119.533,123.208,202.775,2,-0.334392,8.00,nan
8,923,8.096491,8.096491,1.057274,114,873,0.130584,6.747261,0.473684,2.211925,-217.915493,0.02705,0.0,16,0.000000,0.000000,7,0.000000,2.265736,0.755869,2.265736,2.467,221.158,229.142,352.433,2,-0.368642,8.00,-0.060420
9,1138,1.163599,1.163599,1.161224,978,980,0.997959,6.833245,0.858896,2.241788,1.3125,0.009048,0.009667,6,0.000000,0.000000,2,0.931459,0.100158,0.910027,0.100158,2.142,2.500,2.617,2.717,2,0.236896,8.00,-0.058976
10,80,1.038961,1.038961,1.052632,77,76,1.013158,4.306171,0.974026,2.382264,1.767442,0.023929,0.0,0,0.000000,0.000000,2,0.925000,0.028910,0.750000,0.028910,2.049,2.171,2.171,2.171,2,-0.059467,8.00,nan
