covariate,rho_per_seed,rho_pooled,rho_mean_of_seeds,ci95,perm_p,partial_rho_ctrl_logfreq
temporal_fanout,-0.274;-0.517;-0.492,-0.442,-0.428,"[-0.735,-0.086]",0.0146,-0.403
static_fanout,-0.310;-0.626;-0.383,-0.430,-0.440,"[-0.726,-0.069]",0.0197,-0.399
tail_fanin,-0.479;-0.491;-0.236,-0.394,-0.402,"[-0.709,0.025]",0.0318,-0.345
tail_entropy,0.455;0.200;0.164,0.285,0.273,"[-0.130,0.626]",0.1252,0.366
head_tail_ratio,-0.273;0.006;-0.067,-0.121,-0.111,"[-0.471,0.258]",0.5266,-0.126
one_to_one_frac,0.383;0.529;0.407,0.449,0.440,"[0.100,0.730]",0.0138,0.416
powerlaw_gamma,0.382;0.467;0.224,0.353,0.358,"[-0.074,0.710]",0.05579,0.317
forman_ricci,0.588;0.479;0.382,0.482,0.483,"[0.050,0.781]",0.008199,0.449
grc,0.224;-0.248;-0.115,-0.041,-0.046,"[-0.393,0.342]",0.8288,-0.100
clustering,0.406;0.174;-0.174,0.109,0.135,"[-0.140,0.371]",0.6006,0.047
beta1,-0.371;-0.492;-0.444,-0.453,-0.436,"[-0.733,-0.103]",0.0131,-0.417
delta_hyp,-0.183;-0.055;0.018,-0.105,-0.073,"[-0.509,0.305]",0.5903,-0.016
ollivier_rc,0.058;0.409;0.000,0.133,0.156,"[-0.237,0.481]",0.4739,0.146
ollivier_rc_exact,0.317;0.317;0.122,0.272,0.252,"[-0.148,0.666]",0.192,0.215
longest_path,-0.362;-0.543;-0.302,-0.394,-0.402,"[-0.699,0.008]",0.0341,-0.431
reciprocity,0.522;0.522;0.522,0.520,0.522,"[0.000,0.734]",0.0005999,0.548
growth_rate,-0.309;0.006;0.103,-0.069,-0.067,"[-0.473,0.385]",0.7171,0.007
saturation_r,-0.291;-0.558;-0.431,-0.424,-0.427,"[-0.695,-0.054]",0.0211,-0.539
branch_persist,0.552;0.164;0.285,0.336,0.333,"[-0.056,0.618]",0.07009,0.367
