relation_id,n_triples,temporal_fanout,static_fanout,tail_fanin,n_heads,n_tails,head_tail_ratio,tail_entropy,one_to_one_frac,powerlaw_gamma,forman_ricci,grc,clustering,beta1,delta_hyp,ollivier_rc,longest_path,reciprocity,growth_rate,growth_r2,sustained_growth,ball_r1,ball_r2,ball_r3,ball_r4,saturation_r,branch_persist,eff_diameter,ollivier_rc_exact
0,2530,1.0,1.0,1.661195,2530,450,5.622222,5.383119,1.0,2.147283,-25.831621,5.4e-05,0.0,0,0.000000,0.000000,2,0.000000,1.064248,0.750000,1.064248,2.258,18.975,18.975,18.975,2,-0.557146,8.00,0.000000
1,371,1.120846,1.663677,1.084795,223,261,0.854406,5.39606,0.897281,2.013203,-0.398922,0.010902,0.0,3,0.000000,-0.045000,12,0.000000,0.249030,0.963820,0.224399,2.475,4.142,5.692,7.292,8,0.121519,8.00,-0.146733
2,3532,3.00085,6.740458,2.673732,524,600,0.873333,6.08027,0.251487,1.428621,-14.41846,0.007862,0.0,2409,0.076415,-0.061167,12,0.000000,0.797888,0.874730,0.670141,7.367,47.750,171.175,416.367,7,0.477046,8.00,-0.796778
3,2545,1.360235,2.610256,2.019841,975,342,2.850877,5.279048,0.724212,1.580389,-28.221611,0.005279,0.0,1244,0.012822,-0.013333,12,0.000000,0.679437,0.801223,0.574404,4.358,48.675,123.100,383.108,8,-0.044098,8.00,-0.670290
4,1904,1.009009,1.056018,1.01008,1803,1813,0.994484,7.484631,0.990991,2.355961,1.75,0.002314,0.0,1,nan,0.000000,1,0.773109,0.039236,0.945385,0.039236,2.042,2.158,2.208,2.208,2,0.129246,8.00,nan
5,745,1.201613,1.300175,1.071942,573,575,0.996522,6.256689,0.917742,2.174211,-0.872483,0.007321,0.002,7,0.000000,0.000000,2,0.000000,0.200680,0.722975,0.159288,2.242,4.517,4.833,5.258,5,-0.028747,8.00,0.000000
6,487,1.176329,1.445104,1.555911,337,92,3.663043,4.026831,0.826087,1.842201,-10.98152,0.004351,0.0,74,0.055829,-0.013333,12,0.000000,0.617324,0.897508,0.535288,3.433,17.967,32.950,97.433,8,-0.252207,8.00,-0.364353
7,1270,1.0,1.0,1.634492,1270,306,4.150327,4.859801,1.0,2.172849,-25.343307,0.000127,0.0,0,0.000000,0.000000,2,0.000000,1.070986,0.750000,1.070986,3.083,26.258,26.258,26.258,2,-0.475446,8.00,0.000000
8,1092,1.210643,1.889273,3.444795,578,128,4.515625,4.154315,0.796009,1.696693,-34.364469,0.003502,0.0,400,0.008619,-0.030000,12,0.000000,0.532429,0.761242,0.459911,3.508,53.942,68.050,138.317,8,-0.417444,8.00,-0.164583
9,1932,1.189655,1.449362,1.04943,1333,1744,0.764335,7.411429,0.866379,2.210587,0.385093,0.002387,0.0,10,0.000000,0.000000,2,0.000000,0.160368,0.777828,0.119007,2.225,3.342,3.517,3.733,4,-0.105751,8.00,nan
