covariate,rho_per_seed,rho_pooled,rho_mean_of_seeds,ci95,perm_p,partial_rho_ctrl_logfreq
temporal_fanout,-0.418;-0.391;-0.491,-0.411,-0.433,"[-0.678,-0.036]",0.0163,-0.377
static_fanout,-0.418;-0.391;-0.491,-0.411,-0.433,"[-0.678,-0.036]",0.0163,-0.377
tail_fanin,0.055;0.073;0.118,0.076,0.082,"[-0.299,0.430]",0.6675,-0.230
tail_entropy,0.618;0.691;0.491,0.612,0.600,"[0.324,0.779]",0.0004,0.383
head_tail_ratio,0.236;0.245;0.300,0.244,0.261,"[-0.205,0.594]",0.1746,0.097
one_to_one_frac,0.300;0.364;0.336,0.324,0.333,"[-0.098,0.642]",0.06619,0.257
powerlaw_gamma,-0.873;-0.773;-0.900,-0.835,-0.848,"[-0.942,-0.606]",9.999e-05,-0.864
forman_ricci,0.709;0.627;0.782,0.693,0.706,"[0.386,0.862]",9.999e-05,0.833
grc,0.264;0.100;0.318,0.220,0.227,"[-0.132,0.517]",0.2185,0.679
clustering,0.221;0.200;0.358,0.254,0.260,"[-0.066,0.523]",0.1538,0.407
beta1,0.609;0.627;0.627,0.622,0.621,"[0.335,0.833]",9.999e-05,0.392
growth_rate,-0.400;-0.336;-0.400,-0.364,-0.379,"[-0.697,0.073]",0.0392,-0.485
saturation_r,0.731;0.731;0.731,0.721,0.731,"[0.503,0.853]",9.999e-05,0.623
branch_persist,0.427;0.355;0.545,0.438,0.442,"[0.088,0.678]",0.0104,0.681
