covariate,rho_per_seed,rho_pooled,rho_mean_of_seeds,ci95,perm_p,partial_rho_ctrl_logfreq
temporal_fanout,0.061;-0.207;-0.085,-0.090,-0.077,"[-0.387,0.251]",0.636,-0.152
static_fanout,0.097;-0.170;-0.049,-0.050,-0.041,"[-0.338,0.292]",0.7935,-0.093
tail_fanin,0.382;0.224;0.418,0.318,0.341,"[-0.088,0.700]",0.08649,0.274
tail_entropy,-0.309;-0.297;-0.539,-0.349,-0.382,"[-0.732,0.099]",0.06059,-0.414
head_tail_ratio,0.261;0.321;0.394,0.306,0.325,"[-0.112,0.628]",0.09959,0.312
one_to_one_frac,-0.267;0.000;-0.122,-0.120,-0.130,"[-0.423,0.226]",0.5274,-0.079
powerlaw_gamma,-0.721;-0.527;-0.552,-0.595,-0.600,"[-0.816,-0.260]",0.0007999,-0.578
forman_ricci,-0.261;-0.164;-0.333,-0.227,-0.253,"[-0.588,0.233]",0.2205,-0.192
grc,0.370;0.273;0.152,0.278,0.265,"[-0.071,0.552]",0.1396,0.302
clustering,0.000;0.000;0.000,0.000,0.000,"[0.000,0.000]",1,0.000
beta1,0.666;0.459;0.511,0.538,0.545,"[0.247,0.740]",0.0032,0.521
growth_rate,0.515;0.455;0.455,0.474,0.475,"[0.050,0.742]",0.008699,0.459
saturation_r,0.159;0.114;0.025,0.101,0.100,"[-0.305,0.471]",0.5973,0.247
branch_persist,-0.152;-0.273;-0.321,-0.242,-0.248,"[-0.578,0.143]",0.1981,-0.247
