covariate,rho_per_seed,rho_pooled,rho_mean_of_seeds,ci95,perm_p,partial_rho_ctrl_logfreq
temporal_fanout,-0.691;-0.624;-0.663,-0.643,-0.659,"[-0.869,-0.324]",9.999e-05,-0.626
static_fanout,-0.691;-0.624;-0.663,-0.643,-0.659,"[-0.869,-0.324]",9.999e-05,-0.626
tail_fanin,0.436;0.470;0.450,0.455,0.452,"[0.190,0.705]",0.005299,0.583
tail_entropy,-0.560;-0.560;-0.495,-0.547,-0.538,"[-0.718,-0.309]",0.0007999,-0.529
head_tail_ratio,0.861;0.841;0.847,0.842,0.850,"[0.643,0.931]",9.999e-05,0.856
one_to_one_frac,0.631;0.586;0.659,0.606,0.625,"[0.285,0.843]",0.0002,0.583
powerlaw_gamma,-0.780;-0.808;-0.764,-0.788,-0.784,"[-0.899,-0.574]",9.999e-05,-0.877
forman_ricci,0.445;0.418;0.412,0.416,0.425,"[0.030,0.706]",0.009899,0.370
grc,-0.292;-0.388;-0.267,-0.334,-0.315,"[-0.554,0.042]",0.0374,-0.318
clustering,0.332;0.402;0.288,0.365,0.341,"[0.156,0.562]",0.0233,0.462
beta1,0.416;0.463;0.463,0.446,0.447,"[0.179,0.688]",0.006399,0.590
growth_rate,-0.890;-0.907;-0.813,-0.882,-0.870,"[-0.930,-0.759]",9.999e-05,-0.877
saturation_r,0.102;0.060;0.128,0.073,0.096,"[-0.257,0.403]",0.6558,0.088
branch_persist,0.637;0.615;0.665,0.625,0.639,"[0.443,0.711]",0.0002,0.635
