relation_id,n_triples,temporal_fanout,static_fanout,tail_fanin,n_heads,n_tails,head_tail_ratio,tail_entropy,one_to_one_frac,powerlaw_gamma,forman_ricci,grc,clustering,beta1,growth_rate,growth_r2,sustained_growth,ball_r1,ball_r2,ball_r3,ball_r4,saturation_r,branch_persist,eff_diameter
0,900,1.814516,1.814516,1.0,496,900,0.551111,6.802395,0.185484,1.843484,-0.644444,0.098188,0.0,0,0.355463,0.963850,0.317934,2.750,5.292,8.150,12.575,8,-0.447337,8.00
1,855,2.680251,2.680251,1.0,319,855,0.373099,6.751101,0.031348,1.881842,-1.508772,0.095191,0.0,0,0.449265,0.982017,0.407793,2.800,5.842,9.617,16.592,8,-0.654551,8.00
2,595,3.541667,3.541667,1.0,168,595,0.282353,6.388561,0.005952,1.918265,-2.369748,0.121908,0.0,0,0.565691,0.981221,0.490799,2.892,7.033,11.892,22.783,6,-0.699714,8.00
3,103,1.872727,1.872727,1.0,55,103,0.533981,4.634729,0.127273,1.883474,-0.427184,0.104786,0.0,0,0.270509,0.913016,0.224622,2.761,4.897,6.915,8.795,6,-0.674778,8.00
4,1122,4.524194,4.524194,1.0,248,1122,0.221034,7.022868,0.0,1.948456,-3.393939,0.118664,0.0,0,0.711469,0.986420,0.625735,2.558,7.483,14.142,32.017,6,-0.650896,8.00
5,179,7.458333,7.458333,1.0,24,179,0.134078,5.187386,0.0,2.075389,-4.547486,0.035413,0.0,0,0.580503,0.750000,0.580503,2.675,8.542,8.542,8.542,2,-0.630886,8.00
6,692,28.833333,28.833333,1.0,24,692,0.034682,6.539586,0.0,2.241085,-25.965318,0.044149,0.0,0,1.302180,0.750000,1.302180,2.217,29.975,29.975,29.975,2,-0.310717,8.00
7,173,1.0,1.0,1.0,173,173,1.0,5.153292,1.0,1.875624,0.427746,0.023717,0.0,0,0.180411,0.910591,0.153635,2.625,3.883,4.858,5.683,6,-0.053028,8.00
8,350,1.0,1.0,1.0,350,350,1.0,5.857933,1.0,1.828519,0.297143,0.027838,0.0,0,0.184444,0.903423,0.161057,2.733,4.217,5.517,6.617,7,-0.115213,8.00
9,407,1.654472,1.654472,1.668033,246,244,1.008197,5.453614,0.345528,1.551156,-2.727273,0.170104,0.0,155,0.346847,0.906150,0.302472,4.192,9.675,16.925,25.083,8,0.453676,8.00
10,951,1.689165,1.689165,1.695187,563,561,1.003565,6.289002,0.310835,1.537513,-2.904311,0.167292,0.0,379,0.395951,0.930890,0.349333,4.383,10.483,19.125,29.733,8,0.366896,8.00
11,432,4.5,4.5,4.5,96,96,1.0,4.553483,0.0,1.436941,-5.898734,0.0,0.9875,157,0.005236,0.750000,0.005236,5.938,6.000,6.000,6.000,1,-0.097590,8.00
12,1297,8.10625,8.10625,8.10625,160,160,1.0,5.068734,0.0,1.347392,-13.820225,0.0,0.988889,568,0.006712,0.750000,0.006712,9.867,10.000,10.000,10.000,1,-0.272166,8.00
