relation_id,curvature,curvature_inverse,n_train_triples
0,0.336444,0.477661,298
1,0.553023,0.439953,1272
2,0.414076,0.362212,2671
3,0.912253,0.914972,8423
4,0.305357,0.114933,2262
5,0.287631,0.120654,2265
6,0.498976,0.510409,9494
7,0.611181,0.332125,9465
8,0.767106,0.765857,15989
9,0.369603,0.388627,2655
10,0.245719,0.274770,2834
11,0.245826,0.382974,1429
12,0.943433,0.690867,2992
13,0.173319,0.254761,12893
14,0.300367,0.364953,2570
15,0.426128,0.391432,5201
16,0.415397,0.460395,182
17,0.217142,0.459692,10945
18,0.166338,0.291531,596
19,0.323800,0.643492,12157
20,0.428008,0.341299,5880
21,0.510799,0.597813,1908
22,0.527804,0.391120,2640
23,0.335408,0.694791,797
24,0.413363,0.501487,2465
25,0.148766,0.071722,3612
26,0.195545,0.321467,5305
27,0.755093,0.346447,2727
28,0.245825,0.339765,2407
29,0.293807,0.218339,2130
30,0.485556,0.726862,3310
31,0.255524,0.363541,7268
32,0.541633,0.604854,2337
33,0.217517,0.213178,373
34,0.374974,0.456471,1210
35,0.400574,0.259297,1070
36,0.470517,0.418700,622
37,0.422019,0.248733,760
38,0.673969,0.871102,6277
39,0.269100,0.328570,695
40,0.442165,0.406105,676
41,0.418000,0.586152,1772
42,0.665441,0.441240,1938
43,0.174699,0.209541,3717
44,0.424297,0.214117,734
45,0.472686,0.471936,1511
46,0.288637,0.385194,330
47,0.655565,0.419618,5673
48,0.259927,0.431966,4197
49,0.348494,0.289850,183
50,0.409684,0.307126,737
51,0.321688,0.229167,254
52,0.341008,0.231790,678
53,0.492767,0.490992,153
54,0.538243,0.463473,142
55,0.413220,0.346015,93
56,1.332351,1.383059,459
57,0.489029,0.581328,497
58,0.518514,0.516863,2051
59,0.438761,0.321889,603
60,0.278192,0.639016,475
61,0.319818,0.300486,856
62,0.516796,0.468553,579
63,0.420673,0.331931,756
64,0.421903,0.382814,814
65,0.425182,0.415140,664
66,0.362347,0.462934,3738
67,0.232858,0.192989,204
68,0.565766,0.547423,688
69,0.284238,0.375658,1153
70,0.461706,0.486367,335
71,0.594925,0.287391,2063
72,0.337218,0.436749,760
73,0.275969,0.433404,256
74,0.332213,0.545941,384
75,0.267698,0.292066,3795
76,0.458640,0.457976,2226
77,0.704503,0.684401,1404
78,0.427993,0.386227,125
79,0.611031,0.354720,269
80,0.373236,0.359098,423
81,1.311169,1.350796,526
82,0.310678,0.611588,1085
83,0.410443,0.446093,852
84,0.656665,0.636222,1285
85,0.123538,0.282889,2909
86,0.634050,0.541619,1568
87,0.353231,0.340840,463
88,0.327582,0.245001,276
89,0.316247,0.244037,2257
90,0.276863,0.441691,285
91,0.346149,0.319023,121
92,0.297595,0.305496,1327
93,0.365944,0.428307,215
94,0.419798,0.465203,331
95,0.312033,0.315597,689
96,0.330962,0.472832,437
