relation_id,curvature,curvature_inverse,n_train_triples
0,0.610954,0.602182,102983
1,0.601253,0.573881,27727
2,0.433011,0.506221,134342
3,0.507928,0.434198,127783
4,0.552479,0.618561,15140
5,0.648119,0.583610,12810
6,0.476718,0.452377,63279
7,0.576075,0.581970,96204
8,0.560301,0.475297,246
9,0.491830,0.549472,26780
10,0.507084,0.614451,9478
11,0.603857,0.599373,28008
12,0.625474,0.667526,14798
13,0.477081,0.720408,5147
14,0.584112,0.612824,548
15,0.659756,0.599803,39769
16,0.551768,0.540533,142637
17,0.675167,0.607416,26745
18,0.458501,0.508700,44095
19,0.466138,0.460205,106706
20,0.654456,0.641009,19906
21,0.517916,0.497435,2424
22,0.501431,0.423090,23239
23,0.523685,0.505176,71876
24,0.607097,0.570078,36607
25,0.506258,0.530628,3940
26,0.445334,0.480257,2229
27,0.563434,0.589827,24462
28,0.566010,0.505626,13236
29,0.494245,0.509123,6526
30,0.470648,0.468757,58316
31,0.693415,0.593984,19375
32,0.471512,0.472562,6080
33,0.499677,0.436156,5377
34,0.434231,0.443902,72290
35,0.552960,0.426886,3789
36,0.598423,0.568211,28828
37,0.613170,0.511186,31819
38,0.653903,0.624199,17610
39,0.529783,0.427086,621
40,0.417817,0.418969,1509
41,0.547774,0.460951,5056
42,0.444130,0.461920,883
43,0.517700,0.539987,10843
44,0.577164,0.583864,7026
45,0.531020,0.564979,6678
46,0.612526,0.604095,8840
47,0.530081,0.540750,2645
48,0.528731,0.534148,3801
49,0.482661,0.469952,583
50,0.320573,0.442058,577
51,0.433809,0.514096,1867
52,0.474573,0.484310,7915
53,0.476880,0.509412,2061
54,0.450099,0.539249,3155
55,0.459237,0.419268,2459
56,0.416369,0.509465,816
57,0.394042,0.542623,527
58,0.589820,0.474832,16951
59,0.568573,0.553011,16274
60,0.365090,0.279257,1618
61,0.337155,0.457853,518
62,0.491668,0.624317,2752
63,0.457165,0.471384,20709
64,0.467359,0.549187,533
65,0.556767,0.529243,10643
66,0.415401,0.540992,2474
67,0.525741,0.604078,9839
68,0.627179,0.644820,3046
69,0.615540,0.760217,465
70,0.488569,0.393491,1173
71,0.469513,0.661187,3448
72,0.584349,0.491630,5059
73,0.526181,0.504222,1820
74,0.398879,0.393559,1611
75,0.531285,0.480795,4502
76,0.500348,0.659003,2529
77,0.402049,0.393277,553
78,0.454878,0.476900,2574
79,0.575603,0.554612,1745
80,0.575876,0.521714,2372
81,0.568197,0.421920,2851
82,0.644017,0.564608,1196
83,0.452006,0.520095,2237
84,0.627094,0.521826,351
85,0.533063,0.673552,358
86,0.816536,0.553041,122
87,0.421467,0.502100,769
88,0.501322,0.502264,2435
89,0.433611,0.516262,2886
90,0.426786,0.465018,936
91,0.616031,0.608992,1713
92,0.438541,0.385323,591
93,0.558057,0.629487,765
94,0.557810,0.578157,2063
95,0.390056,0.424900,2472
96,0.670534,0.593754,1475
97,0.431227,0.522648,1652
98,0.558574,0.540502,561
99,0.604523,0.505720,2894
100,0.478111,0.454498,789
101,0.494764,0.509552,958
102,0.413372,0.562032,1552
103,0.549949,0.602884,1809
104,0.541032,0.685618,667
105,0.436931,0.591322,336
106,0.399796,0.520763,561
107,0.336304,0.238516,466
108,0.594968,0.497683,2847
109,0.570045,0.388294,771
110,0.466626,0.371229,1154
111,0.635098,0.612204,1374
112,0.533276,0.514160,2728
113,0.587263,0.635103,1069
