relation_id,curvature,curvature_inverse,n_train_triples
0,0.235288,0.218965,61107
1,0.253889,0.253957,33766
2,0.242061,0.212728,19947
3,0.216460,0.208891,16426
4,0.199588,0.233514,14160
5,0.217050,0.219467,14099
6,0.218183,0.217301,14093
7,0.223802,0.213074,12503
8,0.148698,0.166413,10811
9,0.240853,0.234341,10087
10,0.216939,0.158493,8852
11,0.240120,0.087698,8065
12,0.272903,0.273378,6083
13,0.266112,0.267255,4533
14,0.165310,0.186341,4871
15,0.252418,0.230413,4906
16,0.215381,0.226790,4590
17,0.239658,0.252392,4068
18,0.115962,0.077088,4699
19,0.236720,0.233348,3582
20,0.215259,0.117603,3325
21,0.238402,0.201725,3245
22,0.209635,0.222379,2643
23,0.277063,0.261837,2441
24,0.227570,0.230846,2475
25,0.201616,0.203901,2174
26,0.144464,0.132225,1933
27,0.165550,0.218259,1526
28,0.148285,0.226043,1728
29,0.276274,0.275707,1318
30,0.202705,0.164534,1477
31,0.223379,0.207130,1348
32,0.111764,0.199528,1161
33,0.157294,0.062419,1423
34,0.122801,0.217242,1036
35,0.189582,0.193120,1145
36,0.175083,0.088821,438
37,0.208309,0.144633,803
38,0.185872,0.198263,787
39,0.241105,0.234943,851
40,0.214086,0.133988,801
41,0.149528,0.205893,835
42,0.160829,0.220184,733
43,0.084575,0.078299,824
44,0.181924,0.226493,701
45,0.235464,0.158552,676
46,0.145188,0.200900,644
47,0.053697,0.148192,737
48,0.142150,0.209320,624
49,0.262416,0.248761,585
50,0.258025,0.185479,477
51,0.196432,0.193916,484
52,0.284941,0.247781,668
53,0.158348,0.233705,513
54,0.185483,0.249948,482
55,0.173357,0.199661,492
56,0.290708,0.240619,502
57,0.205263,0.209797,470
58,0.204203,0.116086,477
59,0.221250,0.286443,464
60,0.238050,0.255856,446
61,0.143652,0.049202,455
62,0.121799,0.069621,517
63,0.131944,0.240876,406
64,0.094405,0.091538,331
65,0.186866,0.270945,408
66,0.157558,0.231058,390
67,0.242584,0.244495,399
68,0.180861,0.176355,242
69,0.154219,0.191256,326
70,0.146199,0.161430,324
71,0.222148,0.239143,298
72,0.155292,0.219689,249
73,0.217114,0.121083,224
74,0.139683,0.271243,371
75,0.125383,0.163379,315
76,0.254931,0.233909,280
77,0.231635,0.253734,324
78,0.218960,0.225155,326
79,0.223581,0.214324,293
80,0.133065,0.308037,251
81,0.229777,0.208578,287
82,0.198488,0.245512,279
83,0.247542,0.239248,283
84,0.256365,0.214728,243
85,0.256126,0.155415,253
86,0.338862,0.251074,218
87,0.298267,0.243594,275
88,0.199203,0.238574,209
89,0.294025,0.284942,219
90,0.106843,0.129894,197
91,0.269122,0.262881,137
92,0.263337,0.253430,193
93,0.156256,0.207575,220
