relation_id,curvature,curvature_inverse,n_train_triples
0,0.435507,0.999076,61
1,0.359097,0.325031,2142
2,0.481700,0.274609,202
3,0.562734,0.390288,49
4,0.430871,0.608300,88
5,0.647152,0.645165,135
6,0.366792,0.381678,558
7,0.491294,1.089455,80
8,0.570050,0.621453,203
9,0.320119,0.374065,664
10,0.495058,0.503625,157
11,0.511558,0.513335,107
12,0.677911,0.573546,83
13,0.497543,0.351345,290
14,0.334521,0.325635,2917
15,0.420360,0.327153,527
16,0.395105,0.543999,680
17,0.327807,0.333212,5940
18,0.325114,0.766278,78
19,0.921911,0.733895,60
20,0.365694,0.337701,3861
21,0.393898,0.397136,218
22,0.406147,0.395757,11995
23,0.456261,0.603102,129
