covariate,rho_pooled,perm_p,dataset,q_within_dataset,sig_raw,sig_fdr_within,q_global,sig_fdr_global
temporal_fanout,-0.615,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
static_fanout,-0.901,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
tail_fanin,0.17,0.1707,Dissociation,0.1907823529411764,False,False,0.2286440366972477,False
tail_entropy,-0.7,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
head_tail_ratio,0.695,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
one_to_one_frac,0.725,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
powerlaw_gamma,-0.637,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
forman_ricci,0.876,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
grc,-0.675,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
clustering,0.17,0.1707,Dissociation,0.1907823529411764,False,False,0.2286440366972477,False
beta1,0.17,0.1707,Dissociation,0.1907823529411764,False,False,0.2286440366972477,False
delta_hyp,0.0,1.0,Dissociation,1.0,False,False,1.0,False
ollivier_rc,0.175,0.1572,Dissociation,0.1907823529411764,False,False,0.2250117647058823,False
ollivier_rc_exact,-0.62,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
longest_path,0.661,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
reciprocity,0.17,0.1707,Dissociation,0.1907823529411764,False,False,0.2286440366972477,False
growth_rate,-0.702,9.999e-05,Dissociation,0.00017271,True,True,0.0003649635,True
saturation_r,0.237,0.05739,Dissociation,0.0908674999999999,False,False,0.0920762637362637,False
branch_persist,-0.138,0.2941,Dissociation,0.3104388888888889,False,False,0.3733791304347825,False
temporal_fanout,-0.643,9.999e-05,Trees,0.0002799719999999,True,True,0.0003649635,True
static_fanout,-0.643,9.999e-05,Trees,0.0002799719999999,True,True,0.0003649635,True
tail_fanin,0.455,0.005299,Trees,0.0082428888888888,True,True,0.0124782903225806,True
tail_entropy,-0.547,0.0007999,Trees,0.001399825,True,True,0.002335708,True
head_tail_ratio,0.842,9.999e-05,Trees,0.0002799719999999,True,True,0.0003649635,True
one_to_one_frac,0.606,0.0002,Trees,0.0004,True,True,0.0006790697674418,True
powerlaw_gamma,-0.788,9.999e-05,Trees,0.0002799719999999,True,True,0.0003649635,True
forman_ricci,0.416,0.009899,Trees,0.0125987272727272,True,True,0.0218977878787878,True
