dataset,covariate,rho,partial_rho,perm_p
WN18RR,forman_ricci,0.803,0.803,9.999e-05
WN18RR,growth_rate,-0.631,-0.633,9.999e-05
WN18RR,saturation_r,0.038,0.062,0.8453
WN18RR,branch_persist,0.723,0.724,9.999e-05
WN18RR,ollivier_rc_exact,0.355,0.355,0.08879
WN18RR,ollivier_rc,0.011,0.011,0.9774
WN18RR,delta_hyp,0.0,0.0,1.0
WN18RR,grc,0.114,0.121,0.5337
WN18RR,clustering,0.238,0.24,0.1804
WN18RR,beta1,-0.245,-0.449,0.1737
WN18RR,reciprocity,0.396,0.398,0.0239
WN18RR,static_fanout,-0.173,-0.176,0.3289
WN18RR,temporal_fanout,-0.173,-0.176,0.3289
WN18RR,tail_fanin,-0.553,-0.625,0.0007999
FB15k-237,forman_ricci,0.454,0.476,9.999e-05
FB15k-237,growth_rate,-0.402,-0.408,9.999e-05
FB15k-237,saturation_r,0.203,0.216,9.999e-05
FB15k-237,branch_persist,0.312,0.32,9.999e-05
FB15k-237,ollivier_rc_exact,0.05,0.051,0.1866
FB15k-237,ollivier_rc,-0.009,-0.01,0.8089
FB15k-237,delta_hyp,-0.129,-0.131,0.0008999
FB15k-237,grc,0.089,0.088,0.0178
FB15k-237,clustering,0.131,0.13,0.0007999
FB15k-237,beta1,-0.084,-0.09,0.0266
FB15k-237,reciprocity,0.27,0.27,9.999e-05
FB15k-237,static_fanout,0.022,0.029,0.5571
FB15k-237,temporal_fanout,0.022,0.029,0.5571
FB15k-237,tail_fanin,-0.5,-0.505,9.999e-05
YAGO11k,forman_ricci,0.482,0.449,0.008199
YAGO11k,growth_rate,-0.069,0.007,0.7171
YAGO11k,saturation_r,-0.424,-0.539,0.0211
YAGO11k,branch_persist,0.336,0.367,0.07009
YAGO11k,ollivier_rc_exact,0.272,0.215,0.192
YAGO11k,ollivier_rc,0.133,0.146,0.4739
YAGO11k,delta_hyp,-0.105,-0.016,0.5903
YAGO11k,grc,-0.041,-0.1,0.8288
YAGO11k,clustering,0.109,0.047,0.6006
YAGO11k,beta1,-0.453,-0.417,0.0131
YAGO11k,reciprocity,0.52,0.548,0.0005999
YAGO11k,static_fanout,-0.43,-0.399,0.0197
YAGO11k,temporal_fanout,-0.442,-0.403,0.0146
YAGO11k,tail_fanin,-0.394,-0.345,0.0318
WIKIDATA12k,forman_ricci,0.601,0.386,9.999e-05
WIKIDATA12k,growth_rate,-0.539,-0.333,9.999e-05
WIKIDATA12k,saturation_r,-0.243,0.003,0.0438
WIKIDATA12k,branch_persist,-0.174,-0.014,0.1556
WIKIDATA12k,ollivier_rc_exact,0.252,0.22,0.037
WIKIDATA12k,ollivier_rc,-0.053,-0.175,0.6678
WIKIDATA12k,delta_hyp,-0.26,-0.125,0.032
WIKIDATA12k,grc,0.236,-0.19,0.05279
WIKIDATA12k,clustering,-0.128,-0.062,0.2969
WIKIDATA12k,beta1,-0.695,-0.53,9.999e-05
WIKIDATA12k,reciprocity,0.226,0.28,0.06179
WIKIDATA12k,static_fanout,-0.431,-0.3,0.0002
WIKIDATA12k,temporal_fanout,-0.326,-0.166,0.005999
WIKIDATA12k,tail_fanin,-0.452,-0.196,9.999e-05
ICEWS14,forman_ricci,0.171,0.228,0.0005999
ICEWS14,growth_rate,-0.218,-0.317,9.999e-05
ICEWS14,saturation_r,0.288,0.279,9.999e-05
ICEWS14,branch_persist,0.327,0.354,9.999e-05
ICEWS14,ollivier_rc_exact,-0.05,-0.018,0.4019
ICEWS14,ollivier_rc,-0.064,-0.026,0.1826
ICEWS14,delta_hyp,-0.096,-0.065,0.0498
ICEWS14,grc,-0.196,-0.19,9.999e-05
ICEWS14,clustering,-0.109,-0.069,0.0261
ICEWS14,beta1,-0.067,0.074,0.1658
ICEWS14,reciprocity,0.294,0.4,9.999e-05
ICEWS14,static_fanout,-0.152,-0.137,0.0018
ICEWS14,temporal_fanout,-0.146,-0.123,0.0035
ICEWS14,tail_fanin,-0.185,-0.179,9.999e-05
GDELT,forman_ricci,-0.135,0.049,0.0025
GDELT,growth_rate,0.14,-0.013,0.0012
GDELT,saturation_r,-0.092,0.034,0.0331
GDELT,branch_persist,0.078,0.086,0.06199
GDELT,ollivier_rc,-0.025,-0.057,0.5566
GDELT,delta_hyp,0.074,-0.032,0.07649
GDELT,grc,-0.087,-0.06,0.0386
GDELT,clustering,0.077,-0.096,0.07009
GDELT,beta1,0.153,0.041,0.0008999
GDELT,reciprocity,0.06,-0.097,0.1607
GDELT,static_fanout,0.126,-0.087,0.0041
GDELT,temporal_fanout,0.031,-0.083,0.4628
GDELT,tail_fanin,0.022,-0.068,0.6141
