covariate,rho_per_seed,rho_pooled,rho_mean_of_seeds,ci95,perm_p,partial_rho_ctrl_logfreq
temporal_fanout,-0.718;-0.509;-0.531;-0.492;-0.701,-0.615,-0.590,"[-0.761,-0.420]",9.999e-05,-0.663
static_fanout,-0.942;-0.788;-0.878;-0.866;-0.953,-0.901,-0.885,"[-0.934,-0.840]",9.999e-05,-0.905
tail_fanin,0.152;0.424;0.186;0.130;0.082,0.170,0.195,"[-0.018,0.359]",0.1707,0.173
tail_entropy,-0.676;-0.780;-0.703;-0.659;-0.714,-0.700,-0.707,"[-0.802,-0.526]",9.999e-05,-0.724
head_tail_ratio,0.719;0.805;0.671;0.627;0.674,0.695,0.699,"[0.509,0.799]",9.999e-05,0.696
one_to_one_frac,0.801;0.668;0.640;0.631;0.801,0.725,0.708,"[0.559,0.848]",9.999e-05,0.755
powerlaw_gamma,-0.676;-0.714;-0.593;-0.571;-0.626,-0.637,-0.636,"[-0.757,-0.435]",9.999e-05,-0.647
forman_ricci,0.896;0.758;0.857;0.857;0.934,0.876,0.860,"[0.808,0.912]",9.999e-05,0.906
grc,-0.648;-0.824;-0.736;-0.698;-0.599,-0.675,-0.701,"[-0.766,-0.510]",9.999e-05,-0.699
clustering,0.152;0.424;0.186;0.130;0.082,0.170,0.195,"[-0.018,0.359]",0.1707,0.173
beta1,0.152;0.424;0.186;0.130;0.082,0.170,0.195,"[-0.018,0.359]",0.1707,0.173
delta_hyp,0.000;0.000;0.000;0.000;0.000,0.000,0.000,"[0.000,0.000]",1,0.000
ollivier_rc,0.156;0.417;0.197;0.145;0.093,0.175,0.202,"[-0.013,0.365]",0.1572,0.178
ollivier_rc_exact,-0.710;-0.565;-0.550;-0.502;-0.710,-0.620,-0.607,"[-0.722,-0.479]",9.999e-05,-0.677
longest_path,0.766;0.393;0.606;0.621;0.771,0.661,0.631,"[0.491,0.783]",9.999e-05,0.677
reciprocity,0.152;0.424;0.186;0.130;0.082,0.170,0.195,"[-0.018,0.359]",0.1707,0.173
growth_rate,-0.731;-0.808;-0.687;-0.637;-0.687,-0.702,-0.710,"[-0.803,-0.527]",9.999e-05,-0.702
saturation_r,0.307;-0.042;0.198;0.259;0.313,0.237,0.207,"[-0.032,0.445]",0.05739,0.237
branch_persist,-0.137;-0.084;-0.112;-0.067;-0.140,-0.138,-0.108,"[-0.379,0.126]",0.2941,-0.208
