relation_id,n_triples,temporal_fanout,static_fanout,tail_fanin,n_heads,n_tails,head_tail_ratio,tail_entropy,one_to_one_frac,powerlaw_gamma,forman_ricci,grc,clustering,beta1,delta_hyp,ollivier_rc,longest_path,reciprocity,growth_rate,growth_r2,sustained_growth,ball_r1,ball_r2,ball_r3,ball_r4,saturation_r,branch_persist,eff_diameter,ollivier_rc_exact
0,966,1.0,16.1,1.0,60,966,0.062112,6.873164,1.0,2.169194,-13.289855,0.018419,0.0,0,0.000000,0.000000,2,0.000000,0.854786,0.750000,0.854786,3.133,17.317,17.317,17.317,2,-0.425707,8.00,0.000000
1,1946,1.676141,32.433333,1.0,60,1946,0.030832,7.573531,0.323859,2.254511,-29.618705,0.017969,0.0,0,0.000000,0.000000,2,0.000000,1.194517,0.750000,1.194517,3.092,33.708,33.708,33.708,2,-0.320811,8.00,0.000000
2,3847,3.205833,64.116667,1.0,60,3847,0.015597,8.255049,0.024167,2.320967,-61.299194,0.017242,0.0,0,0.000000,0.000000,0,0.000000,1.385973,0.750000,1.385973,4.058,64.892,64.892,64.892,2,-0.243622,8.00,0.706261
3,7663,6.385833,127.716667,1.0,60,7663,0.00783,8.944159,0.0,2.368325,-124.880073,0.016367,0.0,0,0.000000,0.000000,0,0.000000,1.884978,0.750000,1.884978,2.975,129.050,129.050,129.050,2,-0.172819,8.00,0.747496
4,15356,12.796667,255.933333,1.0,60,15356,0.003907,9.639262,0.0,2.399136,-253.126856,0.01689,0.0,0,0.000000,0.000000,0,0.000000,2.066146,0.750000,2.066146,4.133,257.592,257.592,257.592,2,-0.149710,8.00,0.750000
5,1924,1.0,1.0,1.0,120,120,1.0,4.781849,1.0,2.082021,1.0,0.005618,0.0,0,nan,0.000000,2,0.000000,0.120329,0.750000,0.120329,2.358,3.000,3.000,3.000,2,-1.000000,8.00,0.000000
6,3830,1.0,1.0,1.0,240,240,1.0,5.474142,1.0,1.901684,0.5,0.006711,0.0,0,0.000000,0.000000,4,0.000000,0.213509,0.911686,0.156732,2.617,3.808,4.617,5.000,4,-0.666667,8.00,0.000000
7,7625,1.0,1.0,1.0,480,480,1.0,6.166344,1.0,1.811516,0.25,0.007426,0.0,0,0.000000,0.000000,8,0.000000,0.181996,0.897560,0.156973,2.758,4.267,5.567,6.675,7,-0.269217,8.00,0.000000
8,15396,1.0,1.0,1.0,960,960,1.0,6.860639,1.0,1.766432,0.125,0.007548,0.0,0,0.000000,0.000000,5,0.000000,0.198740,0.921681,0.174948,2.858,4.592,6.192,7.692,8,-0.123091,8.00,0.000000
9,3843,3.207846,4.0,1.0,60,240,0.25,5.47359,0.024207,2.030496,-1.0,0.010738,0.0,0,0.000000,0.000000,2,0.000000,0.356675,0.750000,0.356675,2.450,5.000,5.000,5.000,2,-1.000000,8.00,0.000000
10,4793,2.235541,2.624161,1.189035,298,240,1.241667,5.471427,0.454291,1.488559,-3.825043,0.002875,0.971667,343,0.000000,0.725000,2,0.508951,0.012659,0.750000,0.012659,4.875,5.000,5.000,5.000,1,-0.161802,8.00,0.000000
11,5778,1.94744,3.046823,1.367362,299,240,1.245833,5.471599,0.556314,1.481342,-3.989983,0.002718,0.998333,359,0.000000,0.750000,1,0.684962,0.000834,0.750000,0.000834,4.992,5.000,5.000,5.000,1,-0.008234,8.00,0.000000
12,7673,1.816642,3.2,1.661426,300,240,1.25,5.47273,0.560289,1.480898,-4.0,0.002685,1.0,360,0.000000,0.750000,1,0.750000,0.000000,nan,0.000000,5.000,5.000,5.000,5.000,1,nan,8.00,0.000000
